customer_id,age,income,tenure_months,monthly_charges,contract_type,payment_method,total_calls,data_usage_gb,num_products,complaint_registered,churn
CUST000026,42,78,181,25,92.96,Two-Year,Credit Card,5,41.61,2,No,0
CUST000027,50,,28,,Two-Year,Credit Card,17,1.54,3,No,1
CUST000028,48,81K,70,30.32,Month-to-Month,Credit Card,4,29.04,5,No,1
CUST000029,64,28K,60,,Two-Year,Bank Transfer,1,8.81,1,No,0
CUST000030,,81,538,68,81.95,Month-to-Month,Credit Card,0,37.09,5,No,0
CUST000031,44,,20,74.68,Two-Year,Credit Card,2,45.05,3,No,1
CUST000032,59,,65,84.5,Two-Year,Mailed Check,15,19.49,2,No,1
CUST000033,37,$55655,13,70.66,One-Year,Bank Transfer,5,30.45,5,No,0
CUST000034,36,48K,59,56.42,Two-Year,Bank Transfer,1,53.82,3,No,0
CUST000035,,$61008,64,72.78,One-Year,Electronic Check,5,2.55,1,Yes,1
CUST000036,,46826,23,20,Two-Year,Credit Card,2,1.31,1,No,1
CUST000037,50,291K,55,62.17,Month-to-Month,Bank Transfer,1,23.63,4,No,1
CUST000038,43,$80342,42,76.67,Two-Year,Credit Card,2,58.54,5,Yes,0
CUST000039,26,$52553,32,55.95,Two-Year,Credit Card,4,19.62,4,No,0
CUST000040,44,,68,47.68,One-Year,Credit Card,2,4.7,3,No,0
CUST000041,79,$70760,71,,One-Year,Credit Card,2,28.33,1,No,0
CUST000042,48,$66892,17,67.93,One-Year,Credit Card,4,4.63,5,No,1
CUST000043,61,56904,53,79.57,One-Year,Electronic Check,2,58.33,1,No,0
CUST000044,45,,52,48.54,Month-to-Month,Electronic Check,3,60.23,2,No,0
CUST000045,33,$38013,8,60.62,Two-Year,Bank Transfer,4,9.34,5,No,0
CUST000046,48,66,513,69,89.32,Month-to-Month,Credit Card,5,22.09,3,No,0
CUST000047,56,82843,34,70.91,Month-to-Month,Electronic Check,4,16.14,2,No,1
CUST000048,26,478587,40,81.14,One-Year,Credit Card,3,10.08,5,No,0
CUST000049,,$79169,7,70.34,Month-to-Month,Electronic Check,1,55.04,3,No,0
CUST000050,33,,72,74.68,Two-Year,Credit Card,32,29.92,3,No,0
CUST000051,56,51,363,1,84.59,Month-to-Month,Credit Card,3,20.37,1,No,0
CUST000052,25,,71,81.27,One-Year,Bank Transfer,0,22.24,2,Yes,0
CUST000053,68,28K,42,88.63,Month-to-Month,Electronic Check,5,29.27,5,No,1
CUST000054,18,33265,15,20,Month-to-Month,Bank Transfer,45,26.39,1,Yes,1
CUST000055,18,,66,46.02,One-Year,Bank Transfer,5,47.6,2,No,0
CUST000056,36,144,119,65,110.44,One-Year,Bank Transfer,3,9.97,1,No,0
CUST000057,,42K,50,100.55,One-Year,Credit Card,2,23.64,2,Yes,0
CUST000058,42,$52801,46,55.33,One-Year,Electronic Check,6,32.78,4,No,0
CUST000059,52,58743,72,55.07,Two-Year,Bank Transfer,1,9.95,2,Yes,0
CUST000060,34,77K,6,42.08,Two-Year,Credit Card,1,1.55,1,No,0
CUST000061,19,$46366,42,66.09,Two-Year,Bank Transfer,3,22.19,1,No,0
CUST000062,102,27,962,20,54.8,One-Year,Credit Card,5,2.77,3,No,0
CUST000063,,60852,22,67.7,Two-Year,Bank Transfer,6,2.55,2,No,0
CUST000064,63,65K,45,51.45,Two-Year,Credit Card,2,11.9,3,Yes,1
CUST000065,67,57K,5,77.39,One-Year,Electronic Check,2,17.45,2,Yes,1
CUST000066,,40891,37,88.03,One-Year,Credit Card,1,41.27,2,No,0
CUST000067,33,,39,73.98,Two-Year,Credit Card,1,41.45,5,No,0
CUST000068,43,21K,5,85.06,Two-Year,Electronic Check,2,39.1,5,No,1
CUST000069,33,$81742,43,100.36,One-Year,Credit Card,3,50.42,5,No,0
CUST000070,,431329,-3,20,Two-Year,Bank Transfer,50,20.32,4,No,0
CUST000071,,56K,61,57.27,Month-to-Month,Bank Transfer,5,38.47,4,Yes,1
CUST000072,61,$80608,28,51.22,One-Year,Credit Card,3,8.02,1,Yes,0
CUST000073,22,112K,-6,73.07,One-Year,Credit Card,2,15.45,5,No,0
CUST000074,52,80,992,17,134.24,Month-to-Month,Electronic Check,0,38.61,1,No,1
CUST000075,42,53,112,7,104.75,One-Year,Bank Transfer,2,48.66,3,No,0
CUST000076,48,96,212,29,73.81,Month-to-Month,Electronic Check,0,26.29,4,No,0
CUST000077,46,48,325,21,48.14,Two-Year,Credit Card,1,24.07,4,Yes,0
CUST000078,41,70951,58,122.36,Two-Year,Bank Transfer,3,23.81,5,No,0
CUST000079,53,58K,39,25.09,Two-Year,Bank Transfer,4,47.94,1,Yes,1
CUST000080,,76061,15,72.4,One-Year,Bank Transfer,6,40.77,1,Yes,0
CUST000081,47,$20000,51,45.52,Two-Year,Electronic Check,2,30.37,2,No,0
CUST000082,61,,19,,One-Year,Bank Transfer,0,47.05,3,No,0
CUST000083,,$58008,27,20,Month-to-Month,Credit Card,1,18.91,3,No,1
CUST000084,18,52661,72,89.17,Month-to-Month,Bank Transfer,6,62.81,5,No,0
CUST000085,23,88602,63,40.49,Two-Year,Bank Transfer,2,25.46,5,Yes,0
CUST000086,,$40512,70,54.61,Two-Year,Bank Transfer,4,26.74,5,No,1
CUST000087,38,,43,88.19,One-Year,Electronic Check,2,26.59,4,No,0
CUST000088,18,$79989,42,74.5,Two-Year,Bank Transfer,6,6.51,3,No,0
CUST000089,42,$47420,22,124.15,One-Year,Bank Transfer,1,5.26,4,No,1
CUST000090,30,40K,66,,One-Year,Credit Card,4,5.37,3,No,0
CUST000091,,$79901,10,30.11,Month-to-Month,Credit Card,6,43.41,3,No,0
CUST000092,56,$20000,64,61.91,Two-Year,Credit Card,5,1.43,1,Yes,0
CUST000093,42,56K,61,23.42,Month-to-Month,Mailed Check,1,60.51,4,Yes,1
CUST000094,37,73,394,59,56.1,Two-Year,Credit Card,3,16.64,2,No,0
CUST000095,25,62,104,9,,Month-to-Month,Credit Card,5,1.19,4,No,0
CUST000096,53,41341,41,68.19,Month-to-Month,Credit Card,1,45.11,4,Yes,0
CUST000097,48,55K,28,58.63,One-Year,Bank Transfer,1,16.06,1,No,0
CUST000098,54,58,050,15,53.89,Month-to-Month,Bank Transfer,1,19.23,1,Yes,1
CUST000099,45,67895,38,67.35,Two-Year,Credit Card,0,43.71,2,Yes,0
CUST000100,57,40226,36,66.27,Two-Year,Bank Transfer,4,17.73,3,No,0
CUST000101,22,57K,-7,59.75,One-Year,Bank Transfer,28,52.41,3,Yes,0
CUST000102,41,71,728,52,53.47,Month-to-Month,Credit Card,6,6.43,2,No,1
CUST000103,57,$24932,35,62.05,Month-to-Month,Bank Transfer,1,45.27,3,Yes,1
CUST000104,48,106,299,31,37.16,Two-Year,Credit Card,19,1.63,2,Yes,0
CUST000105,24,$27241,32,38.6,Two-Year,Credit Card,4,15.74,4,No,1
CUST000106,41,$75353,32,89.41,Two-Year,Bank Transfer,2,31.3,4,No,0
CUST000107,57,$41468,61,48.78,Month-to-Month,Electronic Check,6,48.16,3,No,1
CUST000108,46,55154,59,64.29,Two-Year,Bank Transfer,4,35.02,4,Yes,0
CUST000109,42,45,700,37,,Month-to-Month,Electronic Check,1,10.22,3,Yes,1
CUST000110,21,49374,44,20,Month-to-Month,Credit Card,4,33.55,5,Yes,0
CUST000111,42,44,663,41,81.35,Two-Year,Credit Card,4,9.82,1,No,0
CUST000112,46,112,411,51,58.14,One-Year,Credit Card,6,18.04,5,Yes,0
CUST000113,48,$58666,38,58.48,Month-to-Month,Bank Transfer,1,67.07,4,No,0
CUST000114,22,59K,29,115.77,Two-Year,Electronic Check,1,38.52,1,No,0
CUST000115,28,,36,20,One-Year,Electronic Check,6,55.45,1,No,0
CUST000116,34,,2,35.88,Two-Year,Bank Transfer,3,21.5,3,No,1
CUST000117,18,77,688,57,42.29,Month-to-Month,Electronic Check,1,24.59,1,No,0
CUST000118,36,47K,43,91.52,One-Year,Credit Card,2,25.42,5,Yes,1
CUST000119,33,$34838,71,43.3,One-Year,Bank Transfer,1,2.35,4,Yes,0
CUST000120,40,44,962,62,78.7,Month-to-Month,Credit Card,5,59.34,2,Yes,0
CUST000121,31,33,302,13,75.27,One-Year,Bank Transfer,1,51.05,4,No,0
CUST000122,49,$81887,47,73.59,Month-to-Month,Bank Transfer,2,48.54,4,Yes,0
CUST000123,40,49664,7,51.19,Month-to-Month,Credit Card,2,58.99,5,Yes,1
CUST000124,26,40,476,20,20,One-Year,Credit Card,2,57.02,2,Yes,0
CUST000125,78,$80630,19,,Two-Year,Bank Transfer,3,61.83,5,No,0
CUST000126,33,,45,20,Two-Year,Electronic Check,1,20.4,1,Yes,1
CUST000127,31,46,068,31,,Month-to-Month,Credit Card,3,48.65,3,No,0
CUST000128,68,56687,68,70.54,One-Year,Credit Card,6,46.53,1,No,0
CUST000129,,$38303,6,20,Month-to-Month,Bank Transfer,2,52.25,1,No,0
CUST000130,63,80863,29,75.27,Month-to-Month,Electronic Check,5,7.57,4,No,1
CUST000131,37,$44368,7,62.38,Month-to-Month,Bank Transfer,7,52.82,3,No,0
CUST000132,,,13,52.21,Month-to-Month,Bank Transfer,0,34.9,3,No,1
CUST000133,,$48404,16,54.73,One-Year,Credit Card,2,18.3,1,Yes,0
CUST000134,26,68K,20,20,One-Year,Credit Card,2,25.37,2,No,0
CUST000135,42,$44470,25,24.42,One-Year,Credit Card,2,28.38,2,No,1
CUST000136,32,83358,58,61.13,Month-to-Month,Bank Transfer,28,42.77,2,No,0
CUST000137,,,9,48.27,Month-to-Month,Electronic Check,2,9.07,1,Yes,1
CUST000138,43,32,353,36,79.26,Two-Year,Credit Card,3,25.29,4,No,0
CUST000139,74,22,829,22,108.33,One-Year,Credit Card,1,58.49,4,No,0
CUST000140,,74K,41,73.73,One-Year,Bank Transfer,6,15.57,4,Yes,0
CUST000141,35,76199,18,65.88,Two-Year,Credit Card,2,18.91,2,Yes,1
CUST000142,44,72,852,48,74.3,Two-Year,Bank Transfer,22,12.96,4,No,1
CUST000143,,73K,46,72.54,Month-to-Month,Bank Transfer,3,45.21,4,No,1
CUST000144,37,$49364,33,101.1,Two-Year,Credit Card,3,35.24,1,No,0
CUST000145,42,38428,64,77.09,One-Year,Credit Card,1,5.35,4,Yes,0
CUST000146,66,61,573,26,69.18,Two-Year,Credit Card,4,27.97,1,No,1
CUST000147,59,93,489,23,,Two-Year,Electronic Check,2,64.81,2,No,0
CUST000148,35,$32441,22,71.97,One-Year,Bank Transfer,2,13.12,4,Yes,0
CUST000149,51,$46878,33,79.91,Month-to-Month,Credit Card,5,8.88,4,No,0
CUST000150,19,77793,38,69.13,One-Year,Electronic Check,2,18.97,5,No,0
CUST000151,47,44,446,58,64.88,One-Year,Credit Card,3,11.53,2,No,0
CUST000152,35,21,300,20,83.96,Month-to-Month,Credit Card,3,31.98,4,No,0
CUST000153,56,,72,35.26,One-Year,Credit Card,4,21.88,5,No,0
CUST000154,34,123K,59,74.04,One-Year,Credit Card,3,25.35,5,No,0
CUST000155,18,20,000,29,79.16,Two-Year,Electronic Check,46,55.2,3,No,1
CUST000156,,102K,9,43.91,One-Year,Bank Transfer,1,9.68,4,No,0
CUST000157,61,75K,24,80.28,One-Year,Credit Card,3,34.15,1,Yes,0
CUST000158,30,$84599,2,49.44,Month-to-Month,Bank Transfer,4,44.77,5,Yes,1
CUST000159,34,$20000,13,28.53,Month-to-Month,Electronic Check,0,3.65,3,No,0
CUST000160,46,47,435,70,68.86,Month-to-Month,Bank Transfer,0,3.6,1,No,0
CUST000161,42,$56096,40,42.18,Month-to-Month,Bank Transfer,21,22.65,5,No,1
CUST000162,34,58829,28,106.44,One-Year,Electronic Check,3,67.29,1,No,0
CUST000163,18,485286,6,59.75,Two-Year,Electronic Check,5,23.95,3,No,0
CUST000164,61,$45689,35,27.72,Two-Year,Credit Card,5,19.56,5,No,0
CUST000165,28,82K,24,48.55,Month-to-Month,Electronic Check,1,44.42,1,Yes,0
CUST000166,30,95,392,41,51.2,Month-to-Month,Credit Card,1,72.38,2,No,0
CUST000167,18,50K,67,,Month-to-Month,Bank Transfer,1,24.33,4,No,1
CUST000168,34,42039,44,64.28,Month-to-Month,Credit Card,4,22.85,1,No,1
CUST000169,18,32,642,-7,,One-Year,Credit Card,5,25.11,2,No,0
CUST000170,28,,49,60.49,Month-to-Month,Bank Transfer,48,11.15,1,Yes,1
CUST000171,48,119K,63,23.76,One-Year,Electronic Check,3,34.76,5,Yes,0
CUST000172,31,52416,69,92.54,Two-Year,Credit Card,2,15.75,2,No,0
CUST000173,31,27K,64,49.03,One-Year,Electronic Check,1,45.32,1,No,0
CUST000174,,50,968,7,67.73,One-Year,Credit Card,6,24.71,3,No,0
CUST000175,,74554,32,37.84,Two-Year,Electronic Check,2,32.7,1,No,0
CUST000176,50,$67289,8,20,Two-Year,Credit Card,38,29.57,2,No,1
CUST000177,18,48K,49,55.83,Month-to-Month,Bank Transfer,2,37.32,3,No,0
CUST000178,38,44K,31,69.23,Month-to-Month,Bank Transfer,25,48.35,3,No,0
CUST000179,34,61369,4,65.92,Month-to-Month,Bank Transfer,7,16.39,3,No,1
CUST000180,,89520,29,42.21,Month-to-Month,Electronic Check,0,44.95,3,Yes,1
CUST000181,42,44K,-6,89.19,Month-to-Month,Bank Transfer,6,40.42,1,Yes,1
CUST000182,41,$63449,49,33.86,Two-Year,Bank Transfer,6,15.24,5,No,0
CUST000183,57,52,970,40,49.26,Month-to-Month,Credit Card,3,36.09,5,No,0
CUST000184,18,$65167,17,20,One-Year,Bank Transfer,4,22.2,4,No,0
CUST000185,46,20000,59,91.39,Two-Year,Credit Card,4,27.75,1,No,0
CUST000186,65,47K,36,80.99,One-Year,Credit Card,2,47.09,1,No,0
CUST000187,49,60K,19,91.1,Month-to-Month,Bank Transfer,2,24.88,2,No,0
CUST000188,47,81679,25,64.26,Two-Year,Bank Transfer,2,33.81,2,Yes,0
CUST000189,33,48619,2,72.15,Month-to-Month,Credit Card,1,15.83,3,No,1
CUST000190,49,$60469,30,85.78,Two-Year,Credit Card,3,25.66,3,Yes,1
CUST000191,26,$61811,60,96.53,One-Year,Electronic Check,2,30.84,3,No,0
CUST000192,35,20,000,47,43.36,Month-to-Month,Credit Card,4,22.89,2,No,0
CUST000193,57,37,383,7,37.14,One-Year,Bank Transfer,0,10.89,5,No,0
CUST000194,55,28670,38,67.98,Month-to-Month,Bank Transfer,2,47.4,2,Yes,1
CUST000195,46,69,892,58,97.61,Two-Year,Bank Transfer,45,54.9,3,No,0
CUST000196,24,38,709,35,63.39,One-Year,Bank Transfer,4,8.23,3,No,0
CUST000197,41,46521,28,66.32,Month-to-Month,Bank Transfer,4,2.41,3,Yes,1
CUST000198,26,27116,62,81.03,Two-Year,Mailed Check,4,12.95,1,No,1
CUST000199,51,$48801,53,39.15,One-Year,Credit Card,33,9.97,3,No,1
CUST000200,30,81K,18,25.51,One-Year,Credit Card,2,23.48,4,Yes,0
CUST000201,28,$43834,25,89.12,Two-Year,Credit Card,3,9.59,2,No,0
CUST000202,19,64438,44,56.69,One-Year,Bank Transfer,3,32.28,5,No,0
CUST000203,36,90K,66,34.97,One-Year,Credit Card,2,41.63,4,No,0
CUST000204,59,$32268,20,96.58,One-Year,Bank Transfer,34,36.41,1,Yes,1
CUST000205,,20140,35,31.29,Month-to-Month,Credit Card,5,10.26,3,No,1
CUST000206,,20K,28,51.77,Month-to-Month,Electronic Check,1,40.66,3,No,1
CUST000207,35,$76204,31,66.21,Two-Year,Credit Card,1,20.85,3,No,0
CUST000208,42,48101,46,78.5,Two-Year,Credit Card,3,34.78,1,No,1
CUST000209,53,$59095,67,79.69,Month-to-Month,Credit Card,7,54.04,4,Yes,1
CUST000210,,,12,93.39,Month-to-Month,Bank Transfer,3,30.01,1,Yes,1
CUST000211,,53807,12,55.44,Two-Year,Credit Card,3,5.38,4,No,0
CUST000212,34,62,876,3,,Two-Year,Credit Card,0,53.03,2,No,1
CUST000213,49,41,143,40,82.96,One-Year,Electronic Check,2,47.12,5,No,0
CUST000214,38,69,807,56,,Month-to-Month,Credit Card,1,36.19,5,No,1
CUST000215,33,$46471,22,68.26,Month-to-Month,Electronic Check,1,25.69,1,No,1
CUST000216,18,$55934,14,90.21,Two-Year,Electronic Check,2,20.19,2,No,0
CUST000217,40,$51399,21,32.54,Two-Year,Credit Card,1,40.42,4,No,0
CUST000218,,$56688,19,57.89,Two-Year,Electronic Check,4,18.55,5,No,0
CUST000219,62,43246,16,76.17,Two-Year,Bank Transfer,2,34.42,2,No,0
CUST000220,64,$79729,69,72.52,One-Year,Bank Transfer,6,37.28,4,Yes,0
CUST000221,51,20,000,61,21.23,Month-to-Month,Bank Transfer,1,13.39,2,No,1
CUST000222,47,21288,58,65.89,Two-Year,Credit Card,1,48.9,4,No,0
CUST000223,,36,765,58,126.24,One-Year,Electronic Check,4,5.42,2,Yes,1
CUST000224,38,36,847,23,24.11,Two-Year,Bank Transfer,1,13.35,5,No,0
CUST000225,25,$77890,28,73.45,One-Year,Credit Card,3,2.18,3,No,0
CUST000226,,,10,,Two-Year,Credit Card,4,19.48,1,No,0
CUST000227,23,52K,20,63.84,Month-to-Month,Credit Card,1,44.69,2,No,1
CUST000228,18,$89118,2,30.24,Two-Year,Electronic Check,2,54.62,2,No,0
CUST000229,46,69515,66,,Month-to-Month,Bank Transfer,5,16.35,1,No,0
CUST000230,48,,4,89.61,Month-to-Month,Bank Transfer,2,23.25,2,Yes,1
CUST000231,,51,413,4,66.13,One-Year,Credit Card,16,6.83,5,Yes,1
CUST000232,27,87418,30,72.04,One-Year,Bank Transfer,3,24.28,1,No,0
CUST000233,67,71K,59,76.01,One-Year,Credit Card,1,13.32,2,No,0
CUST000234,,$46912,41,61.94,One-Year,Credit Card,4,50.23,2,Yes,1
CUST000235,48,43,728,37,71.89,Two-Year,Credit Card,1,48.35,5,No,1
CUST000236,43,108347,16,68.4,Two-Year,Credit Card,43,23.07,5,Yes,1
CUST000237,45,83K,49,27.87,Two-Year,Bank Transfer,4,12.33,1,No,0
CUST000238,36,52078,55,85.74,Month-to-Month,Electronic Check,20,41.43,2,No,1
CUST000239,35,69,069,45,20,One-Year,Credit Card,5,40.13,4,Yes,0
CUST000240,42,,15,60,One-Year,Mailed Check,2,49.35,2,Yes,0
CUST000241,30,20462,45,25.19,Two-Year,Credit Card,4,20.66,2,Yes,0
CUST000242,36,77,864,28,107.43,Two-Year,Bank Transfer,2,12.74,3,Yes,1
CUST000243,59,$33082,42,87.68,One-Year,Electronic Check,2,77.63,4,No,0
CUST000244,,49908,71,70.35,One-Year,Electronic Check,0,30.82,1,Yes,0
CUST000245,56,47,357,65,45.94,Month-to-Month,Electronic Check,4,33.19,3,No,1
CUST000246,39,99K,36,120.37,One-Year,Credit Card,1,22.87,5,No,0
CUST000247,37,33,958,8,54.63,One-Year,Bank Transfer,4,33.19,3,No,0
CUST000248,48,26926,40,26.53,One-Year,Credit Card,3,34.12,5,No,0
CUST000249,,74K,70,77.26,Two-Year,Bank Transfer,1,52.14,1,No,1
CUST000250,48,64K,31,54.33,Two-Year,Electronic Check,5,23.76,3,No,0
CUST000251,19,55K,45,106.56,One-Year,Bank Transfer,4,14.13,4,Yes,0
CUST000252,38,68,269,25,65.7,One-Year,Credit Card,6,9.86,5,No,1
CUST000253,,36,489,23,,One-Year,Credit Card,24,34.92,2,Yes,0
CUST000254,49,94930,17,30.4,Two-Year,Credit Card,2,54.18,5,Yes,0
CUST000255,33,$77591,36,44.04,Month-to-Month,Bank Transfer,32,40.58,5,Yes,0
CUST000256,44,32K,71,136.55,Month-to-Month,Bank Transfer,4,34.22,5,No,0
CUST000257,50,26K,-1,92.88,One-Year,Bank Transfer,5,13.19,5,Yes,1
CUST000258,39,66154,14,49.39,Month-to-Month,Bank Transfer,3,54.05,4,No,1
CUST000259,18,$39805,38,80.19,Month-to-Month,Bank Transfer,3,30.7,4,No,0
CUST000260,44,81,435,39,58.43,Two-Year,Bank Transfer,1,37.63,4,No,0
CUST000261,49,37787,50,76.66,Month-to-Month,Bank Transfer,4,19.54,5,Yes,1
CUST000262,,82887,21,49.48,Two-Year,Credit Card,4,13.62,5,No,0
CUST000263,32,79438,37,97.28,Month-to-Month,Bank Transfer,10,22.64,5,Yes,1
CUST000264,48,74K,68,96.99,Two-Year,Credit Card,1,15.92,1,No,0
CUST000265,38,37936,25,32.75,Month-to-Month,Bank Transfer,4,41.78,2,Yes,0
CUST000266,60,47K,71,56,One-Year,Credit Card,2,20.92,4,No,0
CUST000267,56,66K,21,70.89,One-Year,Bank Transfer,6,1.64,3,Yes,0
CUST000268,20,54,631,51,79.28,One-Year,Credit Card,1,16.13,2,No,0
CUST000269,60,79944,12,44.1,One-Year,Credit Card,4,9.81,3,Yes,1
CUST000270,,20K,29,98.59,One-Year,Bank Transfer,4,15.15,5,No,0
CUST000271,57,49K,21,,Month-to-Month,Credit Card,6,37.77,2,Yes,1
CUST000272,41,$27459,11,73.22,Two-Year,Bank Transfer,1,20.09,1,No,0
CUST000273,27,$46747,29,35.34,Two-Year,Bank Transfer,1,53.05,2,No,0
CUST000274,31,59,670,59,65.56,Month-to-Month,Electronic Check,3,9.61,1,Yes,1
CUST000275,,36K,37,42.27,Month-to-Month,Credit Card,2,36.02,1,No,1
CUST000276,102,52047,48,79.31,Month-to-Month,Electronic Check,5,5.64,4,Yes,1
CUST000277,54,66,849,41,63.36,One-Year,Bank Transfer,2,4.24,2,No,0
CUST000278,52,,28,27.78,Month-to-Month,Credit Card,46,5.7,3,No,0
CUST000279,24,82K,47,53.75,Month-to-Month,Bank Transfer,1,43.18,1,Yes,1
CUST000280,25,73338,43,22.84,One-Year,Credit Card,4,4.3,2,No,0
CUST000281,,61,383,19,72.68,Month-to-Month,Bank Transfer,4,52.03,4,Yes,1
CUST000282,45,75742,-9,73.05,Two-Year,Bank Transfer,2,8.56,3,No,0
CUST000283,48,,47,25.9,Month-to-Month,Bank Transfer,3,42.46,4,No,1
CUST000284,66,,43,,Two-Year,Bank Transfer,0,5.28,4,No,0
CUST000285,40,55065,53,24.95,Month-to-Month,Credit Card,5,6.07,1,No,0
CUST000286,35,29260,-2,57.45,One-Year,Credit Card,5,39.73,2,Yes,0
CUST000287,59,83571,9,,Month-to-Month,Bank Transfer,1,19.96,3,No,0
CUST000288,40,20,000,35,82.98,Two-Year,Bank Transfer,1,4.62,2,Yes,1
CUST000289,27,,-8,46.39,Two-Year,Bank Transfer,4,21.28,5,No,0
CUST000290,28,57,921,24,61.66,Two-Year,Credit Card,46,17.96,4,No,0
CUST000291,66,$20000,24,35.77,One-Year,Credit Card,1,47,3,No,0
CUST000292,,61785,31,93.89,Two-Year,Credit Card,2,24.98,3,Yes,1
CUST000293,63,$21935,9,57.71,Two-Year,Electronic Check,7,6.71,4,No,0
CUST000294,58,$21815,2,73.53,Month-to-Month,Credit Card,3,24.17,4,Yes,1
CUST000295,27,100K,25,74.34,Two-Year,Credit Card,2,7.53,1,Yes,0
CUST000296,48,44032,-10,40.17,Two-Year,Electronic Check,1,13.87,2,No,0
CUST000297,31,69810,53,45.59,One-Year,Bank Transfer,1,14.19,1,Yes,0
CUST000298,62,71,154,46,69.22,Two-Year,Electronic Check,3,35.51,3,Yes,1
CUST000299,,108,773,19,71.3,One-Year,Electronic Check,1,57.65,5,No,0
CUST000300,37,84K,7,86.51,Month-to-Month,Bank Transfer,3,4.54,1,No,1
CUST000301,55,71,971,53,42.44,One-Year,Bank Transfer,2,53.88,3,Yes,1
CUST000302,,38,762,48,58.31,One-Year,Credit Card,3,50.53,4,No,0
CUST000303,61,80,749,-10,62.57,Month-to-Month,Bank Transfer,0,10.15,2,No,1
CUST000304,,64620,62,102.12,Two-Year,Credit Card,6,57.61,2,No,0
CUST000305,60,$23192,1,51,One-Year,Credit Card,41,9.44,3,Yes,1
CUST000306,44,54,570,3,64.45,Month-to-Month,Credit Card,7,50.1,2,No,0
CUST000307,35,68874,8,60.79,Two-Year,Bank Transfer,2,15.67,1,Yes,0
CUST000308,37,71,959,6,35.17,Month-to-Month,Bank Transfer,3,54.3,3,No,0
CUST000309,49,67260,26,72.07,Two-Year,Bank Transfer,6,17.65,2,Yes,0
CUST000310,41,83558,71,68.43,Month-to-Month,Credit Card,2,61.41,1,No,1
CUST000311,37,109485,23,20,Month-to-Month,Credit Card,3,9.08,2,No,1
CUST000312,35,$59130,27,62.61,Two-Year,Credit Card,23,14.48,1,Yes,1
CUST000313,,20000,67,72.43,Two-Year,Credit Card,4,59.51,2,No,0
CUST000314,43,$91878,44,46.44,Month-to-Month,Bank Transfer,6,18.98,2,Yes,1
CUST000315,37,78,531,14,20,Month-to-Month,Credit Card,1,2.92,4,Yes,0
CUST000316,36,49499,14,55.17,One-Year,Bank Transfer,2,32.67,3,No,0
CUST000317,54,114,734,24,79.59,Two-Year,Bank Transfer,46,41.26,3,No,1
CUST000318,48,$71822,64,42.55,Two-Year,Credit Card,1,24.03,5,Yes,0
CUST000319,33,64K,39,62.58,Two-Year,Electronic Check,2,7.9,2,No,0
CUST000320,39,$85560,14,81.75,Two-Year,Credit Card,3,35.55,4,Yes,0
CUST000321,42,34608,19,61.94,Two-Year,Credit Card,3,60.4,5,No,0
CUST000322,,88K,52,86.64,One-Year,Credit Card,2,25.7,4,Yes,0
CUST000323,21,74,307,17,71.94,Two-Year,Bank Transfer,1,17.45,3,No,0
CUST000324,,$89884,23,75.85,One-Year,Bank Transfer,1,62.11,3,No,0
